index,type,temp_max,temp_min,CET
8,Actual:,"20°","13°","2014-06-05 00:00:00.000000"
9,Average:,"21°","11°","2014-06-05 00:00:00.000000"
10,Actual:,"24°","9°","2014-06-06 00:00:00.000000"
11,Average:,"21°","12°","2014-06-06 00:00:00.000000"
12,Actual:,"29°","13°","2014-06-07 00:00:00.000000"
13,Average:,"21°","12°","2014-06-07 00:00:00.000000"
14,Actual:,"33°","17°","2014-06-08 00:00:00.000000"
15,Average:,"21°","12°","2014-06-08 00:00:00.000000"
16,Actual:,"31°","18°","2014-06-09 00:00:00.000000"
17,Average:,"22°","12°","2014-06-09 00:00:00.000000"
18,Actual:,"31°","19°","2014-06-10 00:00:00.000000"
19,Average:,"22°","12°","2014-06-10 00:00:00.000000"
20,Actual:,"29°","19°","2014-06-11 00:00:00.000000"
21,Average:,"22°","12°","2014-06-11 00:00:00.000000"
22,Actual:,"21°","15°","2014-06-12 00:00:00.000000"
23,Average:,"22°","12°","2014-06-12 00:00:00.000000"
24,Actual:,"19°","12°","2014-06-13 00:00:00.000000"
25,Average:,"22°","12°","2014-06-13 00:00:00.000000"
26,Actual:,"19°","12°","2014-06-14 00:00:00.000000"
27,Average:,"22°","12°","2014-06-14 00:00:00.000000"
28,Actual:,"22°","8°","2014-06-15 00:00:00.000000"
29,Average:,"22°","12°","2014-06-15 00:00:00.000000"
30,Actual:,"21°","8°","2014-06-16 00:00:00.000000"
31,Average:,"22°","12°","2014-06-16 00:00:00.000000"
32,Actual:,"22°","13°","2014-06-17 00:00:00.000000"
33,Average:,"22°","12°","2014-06-17 00:00:00.000000"
34,Actual:,"24°","8°","2014-06-18 00:00:00.000000"
35,Average:,"22°","12°","2014-06-18 00:00:00.000000"
36,Actual:,"19°","13°","2014-06-19 00:00:00.000000"
37,Average:,"22°","12°","2014-06-19 00:00:00.000000"
38,Actual:,"19°","12°","2014-06-20 00:00:00.000000"
39,Average:,"22°","12°","2014-06-20 00:00:00.000000"
40,Actual:,"18°","11°","2014-06-21 00:00:00.000000"
41,Average:,"22°","12°","2014-06-21 00:00:00.000000"
42,Actual:,"19°","11°","2014-06-22 00:00:00.000000"
43,Average:,"22°","12°","2014-06-22 00:00:00.000000"
44,Actual:,"19°","9°","2014-06-23 00:00:00.000000"
45,Average:,"22°","12°","2014-06-23 00:00:00.000000"
46,Actual:,"18°","10°","2014-06-24 00:00:00.000000"
47,Average:,"22°","12°","2014-06-24 00:00:00.000000"
48,Actual:,"14°","11°","2014-06-25 00:00:00.000000"
49,Average:,"22°","12°","2014-06-25 00:00:00.000000"
50,Actual:,"20°","6°","2014-06-26 00:00:00.000000"
51,Average:,"22°","12°","2014-06-26 00:00:00.000000"
52,Actual:,"23°","8°","2014-06-27 00:00:00.000000"
53,Average:,"22°","12°","2014-06-27 00:00:00.000000"
54,Actual:,"24°","15°","2014-06-28 00:00:00.000000"
55,Average:,"22°","12°","2014-06-28 00:00:00.000000"
56,Actual:,"21°","14°","2014-06-29 00:00:00.000000"
57,Average:,"22°","12°","2014-06-29 00:00:00.000000"
58,Actual:,"20°","13°","2014-06-30 00:00:00.000000"
59,Average:,"22°","13°","2014-06-30 00:00:00.000000"
0,Actual:,"21°","10°","2014-07-01 00:00:00.000000"
1,Average:,"22°","13°","2014-07-01 00:00:00.000000"
2,Actual:,"21°","9°","2014-07-02 00:00:00.000000"
3,Average:,"22°","13°","2014-07-02 00:00:00.000000"
4,Actual:,"24°","10°","2014-07-03 00:00:00.000000"
5,Average:,"22°","13°","2014-07-03 00:00:00.000000"
6,Actual:,"31°","13°","2014-07-04 00:00:00.000000"
7,Average:,"22°","13°","2014-07-04 00:00:00.000000"
8,Actual:,"29°","21°","2014-07-05 00:00:00.000000"
9,Average:,"22°","13°","2014-07-05 00:00:00.000000"
10,Actual:,"30°","18°","2014-07-06 00:00:00.000000"
11,Average:,"22°","13°","2014-07-06 00:00:00.000000"
12,Actual:,"25°","20°","2014-07-07 00:00:00.000000"
13,Average:,"22°","13°","2014-07-07 00:00:00.000000"
14,Actual:,"28°","17°","2014-07-08 00:00:00.000000"
15,Average:,"22°","13°","2014-07-08 00:00:00.000000"
16,Actual:,"27°","18°","2014-07-09 00:00:00.000000"
17,Average:,"22°","13°","2014-07-09 00:00:00.000000"
18,Actual:,"28°","17°","2014-07-10 00:00:00.000000"
19,Average:,"22°","13°","2014-07-10 00:00:00.000000"
20,Actual:,"27°","16°","2014-07-11 00:00:00.000000"
21,Average:,"22°","13°","2014-07-11 00:00:00.000000"
22,Actual:,"21°","13°","2014-07-12 00:00:00.000000"
23,Average:,"23°","13°","2014-07-12 00:00:00.000000"
24,Actual:,"22°","11°","2014-07-13 00:00:00.000000"
25,Average:,"23°","13°","2014-07-13 00:00:00.000000"
26,Actual:,"24°","15°","2014-07-14 00:00:00.000000"
27,Average:,"23°","13°","2014-07-14 00:00:00.000000"
28,Actual:,"25°","17°","2014-07-15 00:00:00.000000"
29,Average:,"23°","14°","2014-07-15 00:00:00.000000"
30,Actual:,"26°","17°","2014-07-16 00:00:00.000000"
31,Average:,"23°","14°","2014-07-16 00:00:00.000000"
32,Actual:,"27°","18°","2014-07-17 00:00:00.000000"
33,Average:,"23°","14°","2014-07-17 00:00:00.000000"
34,Actual:,"29°","17°","2014-07-18 00:00:00.000000"
35,Average:,"23°","14°","2014-07-18 00:00:00.000000"
36,Actual:,"32°","18°","2014-07-19 00:00:00.000000"
37,Average:,"23°","14°","2014-07-19 00:00:00.000000"
38,Actual:,"34°","19°","2014-07-20 00:00:00.000000"
39,Average:,"23°","14°","2014-07-20 00:00:00.000000"
40,Actual:,"30°","21°","2014-07-21 00:00:00.000000"
41,Average:,"23°","14°","2014-07-21 00:00:00.000000"
42,Actual:,"30°","18°","2014-07-22 00:00:00.000000"
43,Average:,"23°","14°","2014-07-22 00:00:00.000000"
44,Actual:,"29°","18°","2014-07-23 00:00:00.000000"
45,Average:,"23°","14°","2014-07-23 00:00:00.000000"
46,Actual:,"23°","16°","2014-07-24 00:00:00.000000"
47,Average:,"23°","14°","2014-07-24 00:00:00.000000"
48,Actual:,"23°","17°","2014-07-25 00:00:00.000000"
49,Average:,"24°","14°","2014-07-25 00:00:00.000000"
50,Actual:,"29°","17°","2014-07-26 00:00:00.000000"
51,Average:,"24°","14°","2014-07-26 00:00:00.000000"
52,Actual:,"31°","19°","2014-07-27 00:00:00.000000"
53,Average:,"24°","14°","2014-07-27 00:00:00.000000"
54,Actual:,"28°","20°","2014-07-28 00:00:00.000000"
55,Average:,"24°","14°","2014-07-28 00:00:00.000000"
56,Actual:,"30°","20°","2014-07-29 00:00:00.000000"
57,Average:,"24°","14°","2014-07-29 00:00:00.000000"
58,Actual:,"26°","19°","2014-07-30 00:00:00.000000"
59,Average:,"24°","14°","2014-07-30 00:00:00.000000"
60,Actual:,"24°","16°","2014-07-31 00:00:00.000000"
61,Average:,"24°","14°","2014-07-31 00:00:00.000000"
0,Actual:,"27°","14°","2014-08-01 00:00:00.000000"
1,Average:,"24°","14°","2014-08-01 00:00:00.000000"
2,Actual:,"29°","19°","2014-08-02 00:00:00.000000"
3,Average:,"24°","14°","2014-08-02 00:00:00.000000"
4,Actual:,"28°","20°","2014-08-03 00:00:00.000000"
5,Average:,"24°","14°","2014-08-03 00:00:00.000000"
6,Actual:,"23°","19°","2014-08-04 00:00:00.000000"
7,Average:,"24°","14°","2014-08-04 00:00:00.000000"
8,Actual:,"26°","16°","2014-08-05 00:00:00.000000"
9,Average:,"24°","14°","2014-08-05 00:00:00.000000"
10,Actual:,"26°","14°","2014-08-06 00:00:00.000000"
11,Average:,"24°","14°","2014-08-06 00:00:00.000000"
12,Actual:,"25°","13°","2014-08-07 00:00:00.000000"
13,Average:,"24°","14°","2014-08-07 00:00:00.000000"
14,Actual:,"26°","14°","2014-08-08 00:00:00.000000"
15,Average:,"24°","14°","2014-08-08 00:00:00.000000"
16,Actual:,"28°","17°","2014-08-09 00:00:00.000000"
17,Average:,"24°","14°","2014-08-09 00:00:00.000000"
18,Actual:,"29°","14°","2014-08-10 00:00:00.000000"
19,Average:,"24°","14°","2014-08-10 00:00:00.000000"
20,Actual:,"23°","18°","2014-08-11 00:00:00.000000"
21,Average:,"24°","14°","2014-08-11 00:00:00.000000"
22,Actual:,"23°","12°","2014-08-12 00:00:00.000000"
23,Average:,"23°","14°","2014-08-12 00:00:00.000000"
24,Actual:,"25°","12°","2014-08-13 00:00:00.000000"
25,Average:,"23°","14°","2014-08-13 00:00:00.000000"
26,Actual:,"22°","14°","2014-08-14 00:00:00.000000"
27,Average:,"24°","14°","2014-08-14 00:00:00.000000"
28,Actual:,"21°","14°","2014-08-15 00:00:00.000000"
