ID,Borrower Lat,Borrower Lng,Lender Lat,Lender Lng
313,51.521,-0.16,51.532,-0.096
314,51.384,-0.195,51.524,-0.318
315,51.544,-0.068,51.544,-0.068
316,51.519,-0.138,51.532,-0.096
317,51.539,-0.095,51.554,-0.136
318,51.486,-0.16,51.787,-0.786
319,51.595,-0.251,51.536,-0.071
320,51.379,-0.098,51.518,-0.135
321,51.597,0.2325,51.523,-0.076
322,51.492,-0.082,51.509,-0.145
323,51.491,-0.371,51.487,-0.097
324,51.491,-0.371,51.487,-0.097
325,51.525,-0.129,45.944,6.4351
326,51.638,-0.494,53.384,-1.495
327,51.767,-0.423,51.536,-0.066
328,51.559,-0.051,51.525,-0.129
329,51.579,-0.017,51.6,-0.009
330,51.704,-0.617,51.475,0.0464
331,51.455,-0.067,51.532,-0.096
332,51.526,-0.076,51.528,-0.048
333,51.426,-0.2,31.991,34.881
334,51.526,-0.065,51.551,0.0251
335,51.567,0.1054,51.509,-0.145
336,51.532,0.0129,51.498,-0.021
337,51.462,0.1072,51.587,-0.039
338,51.6,-0.017,51.541,-0.088
339,51.534,-0.228,51.541,-0.064
340,51.534,-0.228,51.504,-0.25
341,51.477,-0.143,51.43,-0.161
342,48.869,2.359,51.512,-0.032
343,51.54,-0.157,51.521,-0.087
344,51.523,-0.11,51.375,-0.08
345,51.473,-0.019,51.463,-0.059
346,51.536,-0.059,51.553,-0.039
347,51.354,0.0898,51.465,-0.038
348,18.662,-68.42,51.502,-0.102
349,51.54,-0.14,51.541,-0.132
350,51.571,-0.113,51.571,-0.089
351,51.571,-0.113,51.571,-0.089
352,51.571,-0.113,51.519,-0.099
353,51.51,-0.133,51.519,-0.125
354,51.062,-0.325,51.525,-0.082
355,51.554,-0.12,51.529,-0.087
356,51.481,-0.198,51.522,-0.078
357,51.567,-0.105,51.509,-0.145
358,51.494,-0.145,51.538,-0.142
359,51.494,-0.145,51.62,-0.079
360,51.494,-0.145,51.533,-0.139
361,51.494,-0.145,51.62,-0.079
362,51.475,-0.031,51.545,-0.063
363,51.504,-0.024,51.437,0.0731
364,51.494,-0.145,13.73,100.56
365,51.567,-0.107,51.558,-0.082
366,51.497,-0.062,51.734,-0.392
367,51.237,-0.169,51.509,-0.145
368,51.525,-0.082,51.52,-0.101
369,51.68,-0.401,51.487,-0.097
370,51.565,0.1404,51.437,0.0731
371,51.483,-0.208,51.509,-0.145
372,51.483,-0.208,51.509,-0.145
373,51.548,0.0076,51.532,-0.096
374,51.51,-0.304,51.55,-0.245
375,51.546,-0.086,51.535,-0.073
376,51.512,-0.066,51.447,-0.149
377,51.514,-0.104,51.518,-0.135
378,51.521,-0.02,51.481,-0.084
379,51.521,-0.078,51.52,-0.096
380,51.521,-0.078,-35.04,138.6
381,51.503,-0.017,51.546,-0.155
382,51.589,0.0034,51.509,-0.08
383,51.475,-0.043,51.567,-0.053
384,51.503,-0.017,51.498,-0.021
385,51.512,-0.066,51.447,-0.149
386,64.148,-21.88,51.541,-0.064
387,51.449,-0.04,50.385,-3.528
388,51.562,0.1819,51.495,-0.061
